"Date","Price","Open","High","Low","Vol.","Change %"
"13-06-2023","63,143.16","62,779.14","63,177.47","62,777.04","5.54M","0.67%"
"12-06-2023","62,724.71","62,659.98","62,804.89","62,615.20","4.94M","0.16%"
"09-06-2023","62,625.63","62,810.68","62,992.16","62,594.74","41.41M","-0.35%"
"08-06-2023","62,848.64","63,140.17","63,321.40","62,789.73","11.02M","-0.47%"
"07-06-2023","63,142.96","62,917.39","63,196.43","62,841.95","6.89M","0.56%"
"06-06-2023","62,792.88","62,738.35","62,867.95","62,554.21","8.09M","0.01%"
"05-06-2023","62,787.47","62,759.19","62,943.20","62,751.72","6.06M","0.38%"
"02-06-2023","62,547.11","62,601.97","62,719.84","62,379.86","6.33M","0.19%"
"01-06-2023","62,428.54","62,736.47","62,762.41","62,359.14","8.04M","-0.31%"
"31-05-2023","62,622.24","62,839.97","62,876.77","62,401.02","7.29M","-0.55%"
"30-05-2023","62,969.13","62,839.85","63,036.12","62,737.40","7.81M","0.20%"
"29-05-2023","62,846.38","62,801.54","63,026.00","62,801.54","9.63M","0.55%"
"26-05-2023","62,501.69","61,985.36","62,529.83","61,911.61","9.17M","1.02%"
"25-05-2023","61,872.62","61,706.13","61,934.01","61,484.66","8.44M","0.16%"
"24-05-2023","61,773.78","61,834.28","62,154.14","61,708.10","5.89M","-0.34%"
"23-05-2023","61,981.79","62,098.16","62,245.19","61,914.40","8.42M","0.03%"
"22-05-2023","61,963.68","61,579.78","62,044.46","61,579.78","5.57M","0.38%"
"19-05-2023","61,729.68","61,556.25","61,784.61","61,251.70","6.08M","0.48%"
"18-05-2023","61,431.74","61,937.86","61,955.90","61,349.34","8.18M","-0.21%"
"17-05-2023","61,560.64","61,932.32","61,979.94","61,340.10","6.73M","-0.60%"
"16-05-2023","61,932.47","62,474.11","62,475.95","61,847.41","5.88M","-0.66%"
"15-05-2023","62,345.71","62,157.10","62,562.67","61,950.30","6.86M","0.51%"
"12-05-2023","62,027.90","61,857.69","62,110.93","61,578.15","7.04M","0.20%"
"11-05-2023","61,904.52","62,158.10","62,168.22","61,823.07","6.11M","-0.06%"
"10-05-2023","61,940.20","61,843.36","61,974.35","61,572.93","4.76M","0.29%"
"09-05-2023","61,761.33","61,879.68","62,027.51","61,654.94","6.92M","0.00%"
"08-05-2023","61,764.25","61,166.09","61,854.19","61,166.09","7.87M","1.16%"
"05-05-2023","61,054.29","61,163.10","61,585.50","61,002.17","5.59M","-1.13%"
"04-05-2023","61,749.25","61,258.13","61,797.91","61,119.56","8.08M","0.91%"
"03-05-2023","61,193.30","61,274.96","61,274.96","61,024.44","6.06M","-0.26%"
"02-05-2023","61,354.71","61,301.61","61,486.24","61,255.00","6.72M","0.40%"
"28-04-2023","61,112.44","60,721.61","61,209.46","60,507.83","7.17M","0.76%"
"27-04-2023","60,649.38","60,315.56","60,698.31","60,271.49","5.52M","0.58%"
"26-04-2023","60,300.58","60,087.98","60,362.79","59,954.91","4.52M","0.28%"
"25-04-2023","60,130.71","60,202.77","60,268.67","59,967.02","6.54M","0.12%"
"24-04-2023","60,056.10","59,873.71","60,101.64","59,620.11","6.65M","0.67%"
"21-04-2023","59,655.06","59,538.79","59,781.36","59,412.81","5.74M","0.04%"
"20-04-2023","59,632.35","59,586.61","59,836.79","59,489.98","6.59M","0.11%"
"19-04-2023","59,567.80","59,745.89","59,745.89","59,452.72","7.75M","-0.27%"
"18-04-2023","59,727.01","59,991.26","60,113.47","59,579.30","7.33M","-0.31%"
"17-04-2023","59,910.75","60,385.90","60,407.86","59,442.47","15.20M","-0.86%"
"13-04-2023","60,431.00","60,364.41","60,486.91","60,081.43","6.61M","0.06%"
"12-04-2023","60,392.77","60,180.20","60,437.64","60,094.69","5.88M","0.39%"
"11-04-2023","60,157.72","60,028.60","60,267.68","59,919.88","6.87M","0.52%"
"10-04-2023","59,846.51","59,858.98","60,109.11","59,766.23","10.99M","0.02%"
"06-04-2023","59,832.97","59,627.01","59,950.06","59,520.12","4.72M","0.24%"
"05-04-2023","59,689.31","59,094.71","59,747.12","59,094.40","5.02M","0.99%"
"03-04-2023","59,106.44","59,131.16","59,204.82","58,793.08","4.27M","0.19%"
"31-03-2023","58,991.52","58,273.86","59,068.47","58,273.86","6.50M","1.78%"
"29-03-2023","57,960.09","57,572.08","58,124.20","57,524.32","5.87M","0.60%"
"28-03-2023","57,613.72","57,751.50","57,949.45","57,494.91","4.53M","-0.07%"
"27-03-2023","57,653.86","57,566.90","58,019.55","57,415.02","5.95M","0.22%"
"24-03-2023","57,527.10","57,890.66","58,066.40","57,422.98","6.43M","-0.69%"
"23-03-2023","57,925.28","58,061.41","58,396.17","57,838.85","5.08M","-0.50%"
"22-03-2023","58,214.59","58,245.26","58,418.78","58,063.50","","0.24%"
"21-03-2023","58,074.68","57,963.27","58,133.33","57,730.09","5.53M","0.77%"
"20-03-2023","57,628.95","57,773.55","57,829.23","57,084.91","6.51M","-0.62%"
"17-03-2023","57,989.90","58,038.17","58,178.94","57,503.90","6.30M","0.62%"
"16-03-2023","57,634.84","57,510.80","57,887.46","57,158.69","7.86M","0.14%"
"15-03-2023","57,555.90","58,268.54","58,473.63","57,455.67","7.63M","-0.59%"
"14-03-2023","57,900.19","58,168.75","58,490.98","57,721.16","10.23M","-0.58%"
"13-03-2023","58,237.85","59,033.77","59,510.92","58,094.55","8.01M","-1.52%"
"10-03-2023","59,135.13","59,259.83","59,262.47","58,884.98","6.31M","-1.12%"
"09-03-2023","59,806.28","60,467.09","60,467.09","59,750.53","7.67M","-0.90%"
"08-03-2023","60,348.09","59,916.10","60,402.85","59,844.82","6.48M","0.21%"
"06-03-2023","60,224.46","60,007.04","60,498.48","60,005.65","5.92M","0.69%"
"03-03-2023","59,808.97","59,241.20","59,967.04","59,231.58","9.22M","1.53%"
"02-03-2023","58,909.35","59,287.18","59,423.79","58,866.26","5.16M","-0.84%"
"01-03-2023","59,411.08","59,136.48","59,475.45","59,109.54","5.88M","0.76%"
"28-02-2023","58,962.12","59,346.61","59,483.72","58,795.97","6.88M","-0.55%"
"27-02-2023","59,288.35","59,331.31","59,441.13","58,937.64","7.48M","-0.30%"
"24-02-2023","59,463.93","59,859.48","59,908.77","59,325.34","5.26M","-0.24%"
"23-02-2023","59,605.80","59,777.64","59,960.04","59,406.31","7.11M","-0.23%"
"22-02-2023","59,744.98","60,391.86","60,462.90","59,681.55","8.06M","-1.53%"
"21-02-2023","60,672.72","60,770.43","60,976.59","60,583.72","5.14M","-0.03%"
"20-02-2023","60,691.54","61,112.84","61,290.19","60,607.02","6.12M","-0.51%"
"17-02-2023","61,002.57","60,993.54","61,302.72","60,810.67","8.09M","-0.52%"
"16-02-2023","61,319.51","61,566.22","61,682.25","61,196.72","6.86M","0.07%"
"15-02-2023","61,275.09","60,990.05","61,352.55","60,750.32","5.74M","0.40%"
"14-02-2023","61,032.26","60,550.25","61,102.74","60,550.25","7.05M","0.99%"
"13-02-2023","60,431.84","60,652.82","60,740.95","60,245.05","5.83M","-0.41%"
"10-02-2023","60,682.70","60,706.81","60,774.14","60,501.74","5.34M","-0.20%"
"09-02-2023","60,806.22","60,715.89","60,863.63","60,472.81","8.49M","0.23%"
"08-02-2023","60,663.79","60,332.99","60,792.10","60,324.92","13.26M","0.63%"
"07-02-2023","60,286.04","60,511.32","60,655.14","60,063.49","13.60M","-0.37%"
"06-02-2023","60,506.90","60,847.21","60,847.21","60,345.61","7.47M","-0.55%"
"03-02-2023","60,841.88","60,350.01","60,905.34","60,013.06","9.06M","1.52%"
"02-02-2023","59,932.24","59,459.87","60,007.67","59,215.62","10.41M","0.38%"
"01-02-2023","59,708.08","60,001.17","60,773.44","58,816.84","25.25M","0.27%"
"31-01-2023","59,549.90","59,770.83","59,787.63","59,104.59","8.96M","0.08%"
"30-01-2023","59,500.41","59,101.69","59,644.24","58,699.20","11.50M","0.29%"
"27-01-2023","59,330.90","60,166.90","60,166.90","58,974.70","12.93M","-1.45%"
"25-01-2023","60,205.06","60,834.73","60,899.21","60,081.36","8.07M","-1.27%"
"24-01-2023","60,978.75","61,122.20","61,266.06","60,849.12","9.49M","0.06%"
"23-01-2023","60,941.67","60,876.01","61,113.27","60,761.88","6.64M","0.53%"
"20-01-2023","60,621.77","60,901.16","61,001.18","60,585.25","6.32M","-0.39%"
"19-01-2023","60,858.43","60,920.02","61,032.47","60,716.55","8.54M","-0.31%"
"18-01-2023","61,045.74","60,716.03","61,110.25","60,569.19","6.92M","0.64%"
"17-01-2023","60,655.72","60,142.08","60,704.48","60,072.34","6.59M","0.94%"
"16-01-2023","60,092.97","60,550.50","60,586.77","59,963.83","6.50M","-0.28%"
"13-01-2023","60,261.18","60,044.96","60,418.26","59,628.43","7.22M","0.51%"
"12-01-2023","59,958.03","60,083.03","60,290.35","59,632.32","6.11M","-0.25%"
"11-01-2023","60,105.50","60,134.56","60,364.77","59,805.78","9.68M","-0.02%"
"10-01-2023","60,115.48","60,805.14","60,809.65","59,938.38","8.53M","-1.04%"
"09-01-2023","60,747.31","60,147.07","60,889.41","60,109.94","8.03M","1.41%"
"06-01-2023","59,900.37","60,388.74","60,537.63","59,669.91","8.64M","-0.75%"
"05-01-2023","60,353.27","60,847.50","60,877.06","60,049.84","8.93M","-0.50%"
"04-01-2023","60,657.45","61,294.65","61,327.21","60,593.56","7.95M","-1.04%"
"03-01-2023","61,294.20","61,074.88","61,343.96","61,004.04","6.67M","0.21%"
"02-01-2023","61,167.79","60,871.24","61,222.79","60,764.63","18.52M","0.54%"
"30-12-2022","60,840.74","61,329.16","61,392.68","60,743.71","8.04M","-0.48%"
"29-12-2022","61,133.88","60,628.29","61,210.65","60,479.06","7.87M","0.37%"
"28-12-2022","60,910.28","60,811.52","61,075.33","60,713.77","10.02M","-0.03%"
"27-12-2022","60,927.43","60,861.41","60,986.68","60,405.66","11.10M","0.60%"
"26-12-2022","60,566.42","59,755.08","60,833.78","59,754.10","6.49M","1.20%"
"23-12-2022","59,845.29","60,205.56","60,546.88","59,765.56","8.12M","-1.61%"
"22-12-2022","60,826.22","61,257.17","61,464.38","60,637.24","9.13M","-0.39%"
"21-12-2022","61,067.24","61,993.71","62,006.46","60,938.38","6.59M","-1.03%"
"20-12-2022","61,702.29","61,608.85","61,780.37","61,102.68","4.49M","-0.17%"
"19-12-2022","61,806.19","61,405.80","61,844.92","61,265.31","4.76M","0.76%"
"16-12-2022","61,337.81","61,534.24","61,893.22","61,292.53","6.96M","-0.75%"
"15-12-2022","61,799.03","62,530.07","62,624.81","61,715.61","5.61M","-1.40%"
"14-12-2022","62,677.91","62,685.94","62,835.11","62,591.28","5.71M","0.23%"
"13-12-2022","62,533.30","62,300.67","62,567.92","62,129.57","11.99M","0.65%"
"12-12-2022","62,130.57","61,770.56","62,239.42","61,676.15","7.02M","-0.08%"
"09-12-2022","62,181.67","62,690.86","62,735.42","61,889.11","7.27M","-0.62%"
"08-12-2022","62,570.68","62,504.04","62,633.56","62,320.18","13.73M","0.26%"
"07-12-2022","62,410.68","62,615.52","62,759.97","62,316.65","4.83M","-0.34%"
"06-12-2022","62,626.36","62,395.55","62,677.84","62,390.07","6.07M","-0.33%"
"05-12-2022","62,834.60","62,865.28","62,939.63","62,507.88","13.11M","-0.05%"
"02-12-2022","62,868.50","62,978.58","63,148.59","62,679.63","6.39M","-0.66%"
"01-12-2022","63,284.19","63,357.99","63,583.07","63,183.77","17.29M","0.29%"
"30-11-2022","63,099.65","62,743.47","63,303.01","62,648.38","8.93M","0.67%"
"29-11-2022","62,681.84","62,362.08","62,887.40","62,362.08","11.24M","0.28%"
"28-11-2022","62,504.80","62,016.35","62,701.40","61,959.74","6.97M","0.34%"
"25-11-2022","62,293.64","62,327.88","62,447.73","62,115.66","7.12M","0.03%"
"24-11-2022","62,272.68","61,656.00","62,412.33","61,600.42","7.66M","1.24%"
"23-11-2022","61,510.58","61,779.71","61,780.90","61,442.69","9.76M","0.15%"
"22-11-2022","61,418.96","61,126.56","61,466.63","61,073.68","9.74M","0.45%"
"21-11-2022","61,144.84","61,456.33","61,456.33","61,059.33","7.92M","-0.84%"
"18-11-2022","61,663.48","61,858.20","61,929.88","61,337.43","10.61M","-0.14%"
"17-11-2022","61,750.60","61,812.36","62,050.80","61,643.27","9.06M","-0.37%"
"16-11-2022","61,980.72","61,708.63","62,052.57","61,708.63","6.61M","0.17%"
"15-11-2022","61,872.99","61,630.05","61,955.96","61,436.90","11.43M","0.40%"
"14-11-2022","61,624.15","61,765.86","61,916.24","61,572.03","20.64M","-0.28%"
"11-11-2022","61,795.04","61,311.02","61,840.97","61,311.02","14.43M","1.95%"
"10-11-2022","60,613.70","60,524.27","60,848.73","60,425.47","10.17M","-0.69%"
"09-11-2022","61,033.55","61,304.29","61,447.23","60,905.15","9.10M","-0.25%"
"07-11-2022","61,185.15","61,188.13","61,401.54","60,714.36","17.03M","0.39%"
"04-11-2022","60,950.36","60,698.27","61,004.49","60,666.01","13.60M","0.19%"
"03-11-2022","60,836.41","60,511.57","60,994.37","60,485.14","24.96M","-0.11%"
"02-11-2022","60,906.09","61,156.89","61,209.65","60,794.39","10.83M","-0.35%"
"01-11-2022","61,121.35","61,065.58","61,289.73","60,868.69","58.15M","0.62%"
"31-10-2022","60,746.59","60,246.96","60,786.70","60,246.96","8.02M","1.31%"
"28-10-2022","59,959.85","59,746.80","60,133.17","59,739.05","9.97M","0.34%"
"27-10-2022","59,756.84","59,792.32","59,959.94","59,496.80","9.54M","0.36%"
"25-10-2022","59,543.96","60,002.96","60,081.24","59,489.02","14.93M","-0.48%"
"24-10-2022","59,831.66","59,804.02","59,994.25","59,776.66","2.13M","0.88%"
"21-10-2022","59,307.15","59,381.36","59,590.93","59,132.94","10.76M","0.18%"
"20-10-2022","59,202.90","58,824.48","59,273.85","58,791.28","8.65M","0.16%"
"19-10-2022","59,107.19","59,196.96","59,399.69","58,961.77","6.84M","0.25%"
"18-10-2022","58,960.60","58,744.13","59,143.66","58,744.13","8.62M","0.94%"
"17-10-2022","58,410.98","57,752.50","58,449.00","57,639.80","53.54M","0.85%"
"14-10-2022","57,919.97","58,162.74","58,435.12","57,848.23","9.40M","1.20%"
"13-10-2022","57,235.33","57,512.74","57,568.14","57,055.75","9.50M","-0.68%"
"12-10-2022","57,625.91","57,312.49","57,687.64","57,085.92","7.62M","0.84%"
"11-10-2022","57,147.32","58,004.25","58,027.52","57,050.40","52.66M","-1.46%"
"10-10-2022","57,991.11","57,424.07","58,125.01","57,365.68","6.83M","-0.34%"
"07-10-2022","58,191.29","58,092.56","58,269.34","57,851.15","7.26M","-0.05%"
"06-10-2022","58,222.10","58,314.05","58,578.76","58,173.70","9.60M","0.27%"
"04-10-2022","58,065.47","57,506.65","58,099.94","57,506.65","6.40M","2.25%"
"03-10-2022","56,788.81","57,403.92","57,454.84","56,683.40","8.06M","-1.11%"
"30-09-2022","57,426.92","56,240.15","57,722.63","56,147.23","12.31M","1.80%"
"29-09-2022","56,409.96","56,997.90","57,166.14","56,314.05","11.43M","-0.33%"
"28-09-2022","56,598.28","56,710.13","57,213.33","56,485.67","26.77M","-0.89%"
"27-09-2022","57,107.52","57,376.52","57,704.57","56,950.52","13.91M","-0.07%"
"26-09-2022","57,145.22","57,525.03","57,708.38","57,038.24","17.88M","-1.64%"
"23-09-2022","58,098.92","59,005.18","59,143.32","57,981.95","14.90M","-1.73%"
"22-09-2022","59,119.72","59,073.84","59,457.58","58,832.78","10.05M","-0.57%"
"21-09-2022","59,456.78","59,504.14","59,799.04","59,275.40","8.61M","-0.44%"
"20-09-2022","59,719.74","59,556.91","60,105.79","59,556.91","10.38M","0.98%"
"19-09-2022","59,141.23","58,747.31","59,277.55","58,487.76","58.00M","0.51%"
"16-09-2022","58,840.79","59,585.72","59,720.56","58,687.17","13.52M","-1.82%"
"15-09-2022","59,934.01","60,454.37","60,676.12","59,865.75","10.34M","-0.68%"
"14-09-2022","60,346.97","59,417.12","60,649.04","59,417.12","19.71M","-0.37%"
"13-09-2022","60,571.08","60,408.29","60,635.28","60,381.02","8.53M","0.76%"
"12-09-2022","60,115.13","59,912.29","60,284.55","59,912.29","14.25M","0.54%"
"09-09-2022","59,793.14","60,045.75","60,119.80","59,634.39","13.10M","0.18%"
"08-09-2022","59,688.22","59,374.99","59,711.96","59,315.71","12.11M","1.12%"
"07-09-2022","59,028.91","58,789.26","59,166.46","58,722.89","9.04M","-0.28%"
"06-09-2022","59,196.99","59,285.36","59,566.67","58,974.26","13.83M","-0.08%"
"05-09-2022","59,245.98","58,814.08","59,308.25","58,812.20","12.86M","0.75%"
"02-09-2022","58,803.33","58,969.02","59,108.66","58,558.64","10.74M","0.06%"
"01-09-2022","58,766.59","58,710.53","59,309.79","58,522.57","19.21M","-1.29%"
"30-08-2022","59,537.07","58,259.85","59,599.78","58,245.49","12.83M","2.70%"
"29-08-2022","57,972.62","57,367.47","58,208.30","57,367.47","14.47M","-1.46%"
"26-08-2022","58,833.87","59,050.67","59,321.65","58,722.69","9.04M","0.10%"
"25-08-2022","58,774.72","59,315.98","59,484.35","58,666.41","9.75M","-0.53%"
"24-08-2022","59,085.43","58,853.32","59,170.87","58,760.09","11.85M","0.09%"
"23-08-2022","59,031.30","58,205.97","59,199.11","58,172.48","12.96M","0.44%"
"22-08-2022","58,773.87","59,361.08","59,402.50","58,705.11","10.65M","-1.46%"
"19-08-2022","59,646.15","60,351.23","60,411.20","59,474.57","11.72M","-1.08%"
"18-08-2022","60,298.00","60,080.19","60,341.41","59,946.44","10.94M","0.06%"
"17-08-2022","60,260.13","59,938.05","60,323.25","59,857.80","9.68M","0.70%"
"16-08-2022","59,842.21","59,675.12","59,923.03","59,673.96","","0.64%"
"12-08-2022","59,462.78","59,235.98","59,538.08","59,113.01","14.21M","0.22%"
"11-08-2022","59,332.60","59,320.45","59,484.99","59,251.14","10.73M","0.88%"
"10-08-2022","58,817.29","58,977.34","58,984.32","58,583.36","9.79M","-0.06%"
"08-08-2022","58,853.07","58,417.71","58,934.90","58,266.65","9.82M","0.80%"
"05-08-2022","58,387.93","58,421.04","58,649.19","58,244.86","9.27M","0.15%"
"04-08-2022","58,298.80","58,571.28","58,712.66","57,577.05","8.90M","-0.09%"
"03-08-2022","58,350.53","58,174.11","58,415.63","57,788.78","7.16M","0.37%"
"02-08-2022","58,136.36","58,049.02","58,328.41","57,744.70","15.46M","0.04%"
"01-08-2022","58,115.50","57,823.10","58,170.67","57,540.36","72.59M","0.95%"
"29-07-2022","57,570.25","57,258.13","57,619.27","57,104.81","16.78M","1.25%"
"28-07-2022","56,857.79","56,267.55","56,914.22","56,236.45","13.86M","1.87%"
"27-07-2022","55,816.32","55,258.29","55,853.09","55,157.99","3.75M","0.99%"
"26-07-2022","55,268.49","55,834.38","55,834.38","55,203.43","4.88M","-0.89%"
"25-07-2022","55,766.22","55,877.50","56,018.09","55,537.08","6.12M","-0.55%"
"22-07-2022","56,072.23","55,800.84","56,186.05","55,685.45","6.55M","0.70%"
"21-07-2022","55,681.95","55,391.93","55,738.49","55,270.75","6.69M","0.51%"
"20-07-2022","55,397.53","55,486.12","55,630.26","55,298.23","6.83M","1.15%"
"19-07-2022","54,767.62","54,251.88","54,817.52","54,232.82","6.90M","0.45%"
"18-07-2022","54,521.15","54,069.30","54,556.66","54,034.97","63.82M","1.41%"
"15-07-2022","53,760.78","53,637.88","53,811.37","53,361.62","5.62M","0.65%"
"14-07-2022","53,416.15","53,688.62","53,861.28","53,163.77","4.71M","-0.18%"
"13-07-2022","53,514.15","54,210.10","54,211.22","53,455.26","5.65M","-0.69%"
"12-07-2022","53,886.61","54,219.78","54,236.49","53,824.97","6.26M","-0.94%"
"11-07-2022","54,395.23","54,248.60","54,527.90","54,090.53","6.08M","-0.16%"
"08-07-2022","54,481.84","54,574.43","54,627.14","54,278.77","7.54M","0.56%"
"07-07-2022","54,178.46","54,146.68","54,254.79","53,927.26","7.51M","0.80%"
"06-07-2022","53,750.97","53,170.70","53,819.31","53,143.28","14.76M","1.16%"
"05-07-2022","53,134.35","53,501.21","53,865.93","53,054.30","6.82M","-0.19%"
"04-07-2022","53,234.77","52,851.67","53,301.99","52,674.81","6.97M","0.62%"
"01-07-2022","52,907.93","52,863.34","53,053.04","52,094.25","7.22M","-0.21%"
"30-06-2022","53,018.94","52,897.16","53,377.54","52,883.25","5.63M","-0.02%"
"29-06-2022","53,026.97","52,623.15","53,244.84","52,612.68","5.23M","-0.28%"
"28-06-2022","53,177.45","52,846.26","53,301.40","52,771.53","5.52M","0.03%"
"27-06-2022","53,161.28","53,468.89","53,509.50","53,120.79","5.28M","0.82%"
"24-06-2022","52,727.98","52,654.24","52,909.87","52,447.25","4.99M","0.88%"
"23-06-2022","52,265.72","51,972.75","52,516.79","51,632.85","5.59M","0.86%"
"22-06-2022","51,822.53","52,186.36","52,272.85","51,739.98","5.76M","-1.35%"
"21-06-2022","52,532.07","51,897.60","52,799.40","51,808.76","5.14M","1.81%"
"20-06-2022","51,597.84","51,470.03","51,714.61","51,062.93","6.96M","0.46%"
"17-06-2022","51,360.42","51,181.99","51,652.83","50,921.22","8.27M","-0.26%"
"16-06-2022","51,495.79","53,018.91","53,142.50","51,425.48","9.19M","-1.99%"
"15-06-2022","52,541.39","52,650.41","52,867.73","52,493.36","5.91M","-0.29%"
"14-06-2022","52,693.57","52,495.94","53,095.32","52,459.48","6.94M","-0.29%"
"13-06-2022","52,846.70","53,184.61","53,207.54","52,527.08","7.48M","-2.68%"
"10-06-2022","54,303.44","54,760.25","54,780.78","54,205.99","4.76M","-1.84%"
"09-06-2022","55,320.28","54,514.17","55,366.84","54,507.41","5.97M","0.78%"
"08-06-2022","54,892.49","55,345.51","55,423.97","54,683.30","6.04M","-0.39%"
"07-06-2022","55,107.34","55,373.18","55,387.77","54,882.41","3.64M","-1.02%"
"06-06-2022","55,675.32","55,610.64","55,832.28","55,295.74","4.30M","-0.17%"
"03-06-2022","55,769.23","56,245.60","56,432.65","55,719.36","5.94M","-0.09%"
"02-06-2022","55,818.11","55,382.44","55,891.92","55,135.11","5.85M","0.79%"
"01-06-2022","55,381.17","55,588.27","55,791.49","55,091.43","7.33M","-0.33%"
"31-05-2022","55,566.41","55,622.01","55,925.62","55,369.14","8.27M","-0.64%"
"30-05-2022","55,925.74","55,507.75","56,082.65","55,466.30","5.94M","1.90%"
"27-05-2022","54,884.66","54,671.50","54,936.63","54,449.34","7.04M","1.17%"
"26-05-2022","54,252.53","53,950.84","54,346.22","53,425.25","7.48M","0.94%"
"25-05-2022","53,749.26","54,254.07","54,379.59","53,683.16","6.15M","-0.56%"
"24-05-2022","54,052.61","54,307.56","54,524.37","53,886.28","5.62M","-0.43%"
"23-05-2022","54,288.61","54,459.95","54,931.30","54,191.55","7.09M","-0.07%"
"20-05-2022","54,326.39","53,513.97","54,396.43","53,403.29","7.58M","2.91%"
"19-05-2022","52,792.23","53,070.30","53,356.04","52,669.51","9.15M","-2.61%"
"18-05-2022","54,208.53","54,554.89","54,786.00","54,130.89","5.81M","-0.20%"
"17-05-2022","54,318.47","53,285.19","54,399.42","53,176.02","7.44M","2.54%"
"16-05-2022","52,973.84","52,946.32","53,428.28","52,632.48","4.77M","0.34%"
"13-05-2022","52,793.62","53,565.74","53,785.71","52,654.89","9.28M","-0.26%"
"12-05-2022","52,930.31","53,608.35","53,632.55","52,702.30","6.86M","-2.14%"
"11-05-2022","54,088.39","54,544.91","54,598.55","53,519.30","7.17M","-0.51%"
"10-05-2022","54,364.85","54,309.31","54,857.02","54,226.33","8.04M","-0.19%"
"09-05-2022","54,470.67","54,188.21","54,795.47","53,918.02","9.26M","-0.67%"
"06-05-2022","54,835.58","54,928.29","55,070.12","54,586.75","8.05M","-1.56%"
"05-05-2022","55,702.23","56,255.07","56,566.80","55,613.82","8.22M","0.06%"
"04-05-2022","55,669.03","57,124.91","57,184.21","55,501.60","50.75M","-2.29%"
"02-05-2022","56,975.99","56,429.45","57,054.23","56,412.62","7.92M","-0.15%"
"29-04-2022","57,060.87","57,817.51","57,975.48","56,902.30","9.50M","-0.80%"
"28-04-2022","57,521.06","57,296.31","57,790.85","56,936.94","7.11M","1.23%"
"27-04-2022","56,819.39","56,983.68","57,079.03","56,584.04","6.57M","-0.94%"
"26-04-2022","57,356.61","57,066.24","57,442.24","56,904.51","7.34M","1.37%"
"25-04-2022","56,579.89","56,757.64","56,875.65","56,356.87","7.05M","-1.08%"
"22-04-2022","57,197.15","57,531.95","57,689.86","57,134.72","7.58M","-1.23%"
"21-04-2022","57,911.68","57,458.60","57,991.53","57,311.86","8.00M","1.53%"
"20-04-2022","57,037.50","56,741.43","57,216.51","56,521.33","7.58M","1.02%"
"19-04-2022","56,463.15","57,381.77","57,464.08","56,009.07","13.46M","-1.23%"
"18-04-2022","57,166.74","57,338.58","57,420.80","56,842.39","13.46M","-2.01%"
"13-04-2022","58,338.93","58,910.74","59,003.82","58,291.23","6.62M","-0.41%"
"12-04-2022","58,576.37","58,743.50","58,794.78","58,298.57","7.47M","-0.66%"
"11-04-2022","58,964.57","59,333.18","59,355.76","58,894.40","8.97M","-0.81%"
"08-04-2022","59,447.18","59,256.97","59,654.44","58,876.36","8.43M","0.70%"
"07-04-2022","59,034.95","59,402.61","59,504.92","58,977.35","8.27M","-0.97%"
"06-04-2022","59,610.41","59,815.71","59,941.57","59,509.84","10.58M","-0.94%"
"05-04-2022","60,176.50","60,786.07","60,786.07","60,067.18","6.76M","-0.72%"
"04-04-2022","60,611.74","59,764.13","60,845.10","59,760.22","12.57M","2.25%"
